Category: All categories

Day,buy: (United States)
2017-11-14,28
2017-11-15,28
2017-11-16,28
2017-11-17,30
2017-11-18,36
2017-11-19,40
2017-11-20,36
2017-11-21,37
2017-11-22,42
2017-11-23,77
2017-11-24,100
2017-11-25,54
2017-11-26,45
2017-11-27,52
2017-11-28,37
2017-11-29,31
2017-11-30,30
2017-12-01,29
2017-12-02,35
2017-12-03,35
2017-12-04,30
2017-12-05,29
2017-12-06,30
2017-12-07,31
2017-12-08,31
2017-12-09,37
2017-12-10,36
2017-12-11,32
2017-12-12,33
2017-12-13,33
2017-12-14,33
2017-12-15,34
2017-12-16,42
2017-12-17,43
2017-12-18,37
2017-12-19,37
2017-12-20,38
2017-12-21,41
2017-12-22,44
2017-12-23,48
2017-12-24,43
2017-12-25,34
2017-12-26,41
2017-12-27,37
2017-12-28,35
2017-12-29,34
2017-12-30,37
2017-12-31,34
2018-01-01,31
2018-01-02,28
2018-01-03,29
2018-01-04,29
2018-01-05,31
2018-01-06,34
2018-01-07,33
2018-01-08,26
2018-01-09,25
2018-01-10,25
2018-01-11,25
2018-01-12,25
2018-01-13,30
2018-01-14,30
2018-01-15,26
2018-01-16,24
2018-01-17,23
2018-01-18,24
2018-01-19,25
2018-01-20,29
2018-01-21,29
2018-01-22,23
2018-01-23,23
2018-01-24,23
2018-01-25,24
2018-01-26,24
2018-01-27,29
2018-01-28,31
2018-01-29,23
2018-01-30,23
2018-01-31,23
2018-02-01,23
2018-02-02,24
2018-02-03,31
2018-02-04,28
2018-02-05,22
2018-02-06,23
2018-02-07,24
2018-02-08,23
2018-02-09,24
2018-02-10,28
2018-02-11,29
2018-02-12,24
2018-02-13,23
2018-02-14,22
2018-02-15,23
2018-02-16,25
2018-02-17,29
2018-02-18,31
2018-02-19,28
2018-02-20,24
2018-02-21,23
2018-02-22,25
2018-02-23,25
2018-02-24,30
2018-02-25,30
2018-02-26,24
2018-02-27,24
2018-02-28,24
2018-03-01,24
2018-03-02,24
2018-03-03,30
2018-03-04,31
2018-03-05,24
2018-03-06,23
2018-03-07,23
2018-03-08,23
2018-03-09,24
2018-03-10,29
2018-03-11,30
2018-03-12,24
2018-03-13,23
2018-03-14,23
2018-03-15,23
2018-03-16,24
2018-03-17,27
2018-03-18,28
2018-03-19,23
2018-03-20,22
2018-03-21,23
2018-03-22,23
2018-03-23,24
2018-03-24,29
2018-03-25,30
2018-03-26,25
2018-03-27,24
2018-03-28,24
2018-03-29,24
2018-03-30,26
2018-03-31,28
2018-04-01,27
2018-04-02,25
2018-04-03,23
2018-04-04,23
2018-04-05,23
2018-04-06,23
2018-04-07,29
2018-04-08,29
2018-04-09,23
2018-04-10,22
2018-04-11,22
2018-04-12,22
2018-04-13,22
2018-04-14,26
2018-04-15,28
2018-04-16,22
2018-04-17,22
2018-04-18,22
2018-04-19,23
2018-04-20,23
2018-04-21,28
2018-04-22,29
2018-04-23,23
2018-04-24,23
2018-04-25,22
2018-04-26,22
2018-04-27,22
2018-04-28,27
2018-04-29,28
2018-04-30,23
2018-05-01,23
2018-05-02,23
2018-05-03,23
2018-05-04,24
2018-05-05,27
2018-05-06,28
2018-05-07,23
2018-05-08,23
2018-05-09,23
2018-05-10,23
2018-05-11,25
2018-05-12,29
2018-05-13,29
2018-05-14,24
2018-05-15,23
2018-05-16,23
2018-05-17,23
2018-05-18,24
2018-05-19,27
2018-05-20,28
2018-05-21,24
2018-05-22,23
2018-05-23,23
2018-05-24,24
2018-05-25,24
2018-05-26,29
2018-05-27,31
2018-05-28,31
2018-05-29,23
2018-05-30,23
2018-05-31,24
2018-06-01,24
2018-06-02,29
2018-06-03,30
2018-06-04,25
2018-06-05,24
2018-06-06,24
2018-06-07,24
2018-06-08,24
2018-06-09,28
2018-06-10,30
2018-06-11,25
2018-06-12,26
2018-06-13,26
2018-06-14,26
