Category: All categories

Day,cryptocurrency: (United States)
2017-11-14,11
2017-11-15,11
2017-11-16,12
2017-11-17,13
2017-11-18,12
2017-11-19,11
2017-11-20,13
2017-11-21,14
2017-11-22,14
2017-11-23,13
2017-11-24,13
2017-11-25,16
2017-11-26,18
2017-11-27,20
2017-11-28,27
2017-11-29,41
2017-11-30,32
2017-12-01,27
2017-12-02,25
2017-12-03,23
2017-12-04,29
2017-12-05,33
2017-12-06,39
2017-12-07,48
2017-12-08,43
2017-12-09,44
2017-12-10,35
2017-12-11,40
2017-12-12,76
2017-12-13,77
2017-12-14,68
2017-12-15,60
2017-12-16,55
2017-12-17,57
2017-12-18,55
2017-12-19,70
2017-12-20,65
2017-12-21,65
2017-12-22,94
2017-12-23,57
2017-12-24,46
2017-12-25,39
2017-12-26,46
2017-12-27,47
2017-12-28,45
2017-12-29,50
2017-12-30,60
2017-12-31,47
2018-01-01,41
2018-01-02,53
2018-01-03,71
2018-01-04,89
2018-01-05,81
2018-01-06,75
2018-01-07,69
2018-01-08,69
2018-01-09,66
2018-01-10,68
2018-01-11,72
2018-01-12,52
2018-01-13,49
2018-01-14,49
2018-01-15,42
2018-01-16,100
2018-01-17,93
2018-01-18,57
2018-01-19,45
2018-01-20,38
2018-01-21,38
2018-01-22,41
2018-01-23,38
2018-01-24,36
2018-01-25,35
2018-01-26,35
2018-01-27,34
2018-01-28,34
2018-01-29,31
2018-01-30,35
2018-01-31,34
2018-02-01,43
2018-02-02,56
2018-02-03,35
2018-02-04,29
2018-02-05,50
2018-02-06,52
2018-02-07,34
2018-02-08,28
2018-02-09,24
2018-02-10,25
2018-02-11,23
2018-02-12,20
2018-02-13,19
2018-02-14,22
2018-02-15,24
2018-02-16,21
2018-02-17,20
2018-02-18,18
2018-02-19,17
2018-02-20,21
2018-02-21,26
2018-02-22,21
2018-02-23,19
2018-02-24,16
2018-02-25,17
2018-02-26,17
2018-02-27,17
2018-02-28,17
2018-03-01,16
2018-03-02,14
2018-03-03,14
2018-03-04,13
2018-03-05,14
2018-03-06,15
2018-03-07,20
2018-03-08,19
2018-03-09,22
2018-03-10,13
2018-03-11,14
2018-03-12,16
2018-03-13,14
2018-03-14,20
2018-03-15,22
2018-03-16,13
2018-03-17,16
2018-03-18,23
2018-03-19,16
2018-03-20,15
2018-03-21,14
2018-03-22,12
2018-03-23,12
2018-03-24,12
2018-03-25,11
2018-03-26,15
2018-03-27,14
2018-03-28,13
2018-03-29,18
2018-03-30,18
2018-03-31,11
2018-04-01,14
2018-04-02,12
2018-04-03,12
2018-04-04,13
2018-04-05,11
2018-04-06,11
2018-04-07,9
2018-04-08,8
2018-04-09,11
2018-04-10,11
2018-04-11,10
2018-04-12,13
2018-04-13,14
2018-04-14,9
2018-04-15,10
2018-04-16,11
2018-04-17,13
2018-04-18,14
2018-04-19,13
2018-04-20,12
2018-04-21,11
2018-04-22,10
2018-04-23,12
2018-04-24,15
2018-04-25,15
2018-04-26,11
2018-04-27,10
2018-04-28,10
2018-04-29,10
2018-04-30,12
2018-05-01,11
2018-05-02,10
2018-05-03,11
2018-05-04,10
2018-05-05,11
2018-05-06,9
2018-05-07,11
2018-05-08,12
2018-05-09,10
2018-05-10,10
2018-05-11,13
2018-05-12,11
2018-05-13,9
2018-05-14,11
2018-05-15,11
2018-05-16,11
2018-05-17,9
2018-05-18,10
2018-05-19,7
2018-05-20,7
2018-05-21,9
2018-05-22,10
2018-05-23,14
2018-05-24,10
2018-05-25,8
2018-05-26,7
2018-05-27,9
2018-05-28,9
2018-05-29,9
2018-05-30,9
2018-05-31,8
2018-06-01,7
2018-06-02,6
2018-06-03,7
2018-06-04,7
2018-06-05,8
2018-06-06,8
2018-06-07,8
2018-06-08,7
2018-06-09,7
2018-06-10,11
2018-06-11,11
2018-06-12,11
2018-06-13,12
2018-06-14,9
