Category: All categories

Day,nfl: (United States)
2017-11-14,15
2017-11-15,8
2017-11-16,9
2017-11-17,13
2017-11-18,7
2017-11-19,43
2017-11-20,29
2017-11-21,17
2017-11-22,10
2017-11-23,33
2017-11-24,22
2017-11-25,8
2017-11-26,39
2017-11-27,26
2017-11-28,14
2017-11-29,8
2017-11-30,9
2017-12-01,13
2017-12-02,7
2017-12-03,42
2017-12-04,30
2017-12-05,18
2017-12-06,8
2017-12-07,9
2017-12-08,14
2017-12-09,8
2017-12-10,47
2017-12-11,33
2017-12-12,21
2017-12-13,10
2017-12-14,10
2017-12-15,13
2017-12-16,17
2017-12-17,58
2017-12-18,36
2017-12-19,18
2017-12-20,9
2017-12-21,10
2017-12-22,12
2017-12-23,19
2017-12-24,59
2017-12-25,45
2017-12-26,27
2017-12-27,11
2017-12-28,10
2017-12-29,10
2017-12-30,13
2017-12-31,52
2018-01-01,46
2018-01-02,17
2018-01-03,11
2018-01-04,10
2018-01-05,12
2018-01-06,38
2018-01-07,84
2018-01-08,26
2018-01-09,11
2018-01-10,8
2018-01-11,9
2018-01-12,10
2018-01-13,42
2018-01-14,100
2018-01-15,36
2018-01-16,10
2018-01-17,8
2018-01-18,8
2018-01-19,10
2018-01-20,20
2018-01-21,73
2018-01-22,36
2018-01-23,7
2018-01-24,7
2018-01-25,6
2018-01-26,5
2018-01-27,6
2018-01-28,9
2018-01-29,5
2018-01-30,4
2018-01-31,6
2018-02-01,5
2018-02-02,5
2018-02-03,7
2018-02-04,21
2018-02-05,29
2018-02-06,6
2018-02-07,5
2018-02-08,4
2018-02-09,4
2018-02-10,3
2018-02-11,4
2018-02-12,3
2018-02-13,3
2018-02-14,3
2018-02-15,3
2018-02-16,3
2018-02-17,3
2018-02-18,3
2018-02-19,3
2018-02-20,3
2018-02-21,3
2018-02-22,3
2018-02-23,3
2018-02-24,3
2018-02-25,3
2018-02-26,3
2018-02-27,4
2018-02-28,4
2018-03-01,4
2018-03-02,5
2018-03-03,6
2018-03-04,6
2018-03-05,6
2018-03-06,5
2018-03-07,5
2018-03-08,4
2018-03-09,5
2018-03-10,6
2018-03-11,5
2018-03-12,6
2018-03-13,8
2018-03-14,10
2018-03-15,7
2018-03-16,6
2018-03-17,6
2018-03-18,5
2018-03-19,5
2018-03-20,5
2018-03-21,5
2018-03-22,5
2018-03-23,5
2018-03-24,4
2018-03-25,4
2018-03-26,4
2018-03-27,4
2018-03-28,5
2018-03-29,4
2018-03-30,4
2018-03-31,4
2018-04-01,4
2018-04-02,4
2018-04-03,4
2018-04-04,5
2018-04-05,4
2018-04-06,4
2018-04-07,4
2018-04-08,4
2018-04-09,4
2018-04-10,4
2018-04-11,4
2018-04-12,4
2018-04-13,5
2018-04-14,4
2018-04-15,4
2018-04-16,5
2018-04-17,4
2018-04-18,5
2018-04-19,7
2018-04-20,7
2018-04-21,6
2018-04-22,6
2018-04-23,6
2018-04-24,7
2018-04-25,8
2018-04-26,24
2018-04-27,62
2018-04-28,39
2018-04-29,14
2018-04-30,7
2018-05-01,5
2018-05-02,3
2018-05-03,4
2018-05-04,3
2018-05-05,3
2018-05-06,3
2018-05-07,3
2018-05-08,3
2018-05-09,3
2018-05-10,2
2018-05-11,2
2018-05-12,2
2018-05-13,2
2018-05-14,2
2018-05-15,2
2018-05-16,2
2018-05-17,2
2018-05-18,2
2018-05-19,2
2018-05-20,2
2018-05-21,2
2018-05-22,2
2018-05-23,4
2018-05-24,4
2018-05-25,3
2018-05-26,3
2018-05-27,3
2018-05-28,2
2018-05-29,3
2018-05-30,2
2018-05-31,2
2018-06-01,2
2018-06-02,2
2018-06-03,2
2018-06-04,2
2018-06-05,2
2018-06-06,2
2018-06-07,2
2018-06-08,2
2018-06-09,2
2018-06-10,2
2018-06-11,2
2018-06-12,2
2018-06-13,2
2018-06-14,2
