Category: All categories

Day,this is america: (United States)
2017-11-14,1
2017-11-15,1
2017-11-16,1
2017-11-17,1
2017-11-18,<1
2017-11-19,<1
2017-11-20,1
2017-11-21,<1
2017-11-22,<1
2017-11-23,<1
2017-11-24,<1
2017-11-25,<1
2017-11-26,<1
2017-11-27,1
2017-11-28,1
2017-11-29,<1
2017-11-30,1
2017-12-01,1
2017-12-02,<1
2017-12-03,<1
2017-12-04,1
2017-12-05,1
2017-12-06,1
2017-12-07,1
2017-12-08,1
2017-12-09,<1
2017-12-10,<1
2017-12-11,1
2017-12-12,1
2017-12-13,1
2017-12-14,<1
2017-12-15,<1
2017-12-16,<1
2017-12-17,<1
2017-12-18,<1
2017-12-19,<1
2017-12-20,<1
2017-12-21,<1
2017-12-22,<1
2017-12-23,<1
2017-12-24,<1
2017-12-25,<1
2017-12-26,<1
2017-12-27,<1
2017-12-28,<1
2017-12-29,<1
2017-12-30,<1
2017-12-31,<1
2018-01-01,<1
2018-01-02,<1
2018-01-03,<1
2018-01-04,<1
2018-01-05,<1
2018-01-06,<1
2018-01-07,<1
2018-01-08,<1
2018-01-09,<1
2018-01-10,<1
2018-01-11,<1
2018-01-12,<1
2018-01-13,<1
2018-01-14,<1
2018-01-15,<1
2018-01-16,<1
2018-01-17,<1
2018-01-18,<1
2018-01-19,<1
2018-01-20,<1
2018-01-21,<1
2018-01-22,<1
2018-01-23,<1
2018-01-24,<1
2018-01-25,<1
2018-01-26,<1
2018-01-27,<1
2018-01-28,<1
2018-01-29,<1
2018-01-30,<1
2018-01-31,1
2018-02-01,<1
2018-02-02,<1
2018-02-03,<1
2018-02-04,<1
2018-02-05,<1
2018-02-06,<1
2018-02-07,1
2018-02-08,<1
2018-02-09,1
2018-02-10,<1
2018-02-11,<1
2018-02-12,<1
2018-02-13,1
2018-02-14,1
2018-02-15,1
2018-02-16,<1
2018-02-17,<1
2018-02-18,<1
2018-02-19,<1
2018-02-20,<1
2018-02-21,<1
2018-02-22,<1
2018-02-23,1
2018-02-24,<1
2018-02-25,<1
2018-02-26,<1
2018-02-27,1
2018-02-28,1
2018-03-01,1
2018-03-02,<1
2018-03-03,<1
2018-03-04,<1
2018-03-05,1
2018-03-06,1
2018-03-07,<1
2018-03-08,<1
2018-03-09,1
2018-03-10,<1
2018-03-11,<1
2018-03-12,1
2018-03-13,<1
2018-03-14,<1
2018-03-15,<1
2018-03-16,<1
2018-03-17,<1
2018-03-18,<1
2018-03-19,<1
2018-03-20,<1
2018-03-21,<1
2018-03-22,<1
2018-03-23,<1
2018-03-24,<1
2018-03-25,<1
2018-03-26,1
2018-03-27,1
2018-03-28,<1
2018-03-29,<1
2018-03-30,<1
2018-03-31,<1
2018-04-01,<1
2018-04-02,<1
2018-04-03,<1
2018-04-04,<1
2018-04-05,<1
2018-04-06,<1
2018-04-07,<1
2018-04-08,<1
2018-04-09,1
2018-04-10,<1
2018-04-11,1
2018-04-12,1
2018-04-13,1
2018-04-14,<1
2018-04-15,<1
2018-04-16,<1
2018-04-17,<1
2018-04-18,1
2018-04-19,<1
2018-04-20,1
2018-04-21,<1
2018-04-22,<1
2018-04-23,1
2018-04-24,1
2018-04-25,1
2018-04-26,1
2018-04-27,1
2018-04-28,<1
2018-04-29,<1
2018-04-30,1
2018-05-01,1
2018-05-02,1
2018-05-03,1
2018-05-04,3
2018-05-05,1
2018-05-06,55
2018-05-07,100
2018-05-08,91
2018-05-09,70
2018-05-10,57
2018-05-11,47
2018-05-12,54
2018-05-13,49
2018-05-14,40
2018-05-15,36
2018-05-16,31
2018-05-17,26
2018-05-18,24
2018-05-19,18
2018-05-20,17
2018-05-21,14
2018-05-22,13
2018-05-23,11
2018-05-24,11
2018-05-25,12
2018-05-26,10
2018-05-27,11
2018-05-28,9
2018-05-29,8
2018-05-30,8
2018-05-31,8
2018-06-01,8
2018-06-02,8
2018-06-03,10
2018-06-04,7
2018-06-05,7
2018-06-06,6
2018-06-07,6
2018-06-08,6
2018-06-09,6
2018-06-10,6
2018-06-11,5
2018-06-12,5
2018-06-13,5
2018-06-14,5
