Category: All categories

Day,travel: (United States)
2017-11-14,77
2017-11-15,75
2017-11-16,76
2017-11-17,69
2017-11-18,66
2017-11-19,69
2017-11-20,77
2017-11-21,77
2017-11-22,74
2017-11-23,59
2017-11-24,69
2017-11-25,71
2017-11-26,78
2017-11-27,88
2017-11-28,81
2017-11-29,75
2017-11-30,73
2017-12-01,69
2017-12-02,65
2017-12-03,72
2017-12-04,86
2017-12-05,87
2017-12-06,78
2017-12-07,75
2017-12-08,72
2017-12-09,71
2017-12-10,73
2017-12-11,78
2017-12-12,80
2017-12-13,77
2017-12-14,72
2017-12-15,70
2017-12-16,70
2017-12-17,72
2017-12-18,78
2017-12-19,76
2017-12-20,75
2017-12-21,75
2017-12-22,69
2017-12-23,66
2017-12-24,61
2017-12-25,66
2017-12-26,78
2017-12-27,88
2017-12-28,86
2017-12-29,78
2017-12-30,74
2017-12-31,69
2018-01-01,73
2018-01-02,87
2018-01-03,89
2018-01-04,92
2018-01-05,84
2018-01-06,82
2018-01-07,87
2018-01-08,88
2018-01-09,84
2018-01-10,88
2018-01-11,100
2018-01-12,92
2018-01-13,86
2018-01-14,84
2018-01-15,92
2018-01-16,90
2018-01-17,85
2018-01-18,85
2018-01-19,82
2018-01-20,78
2018-01-21,80
2018-01-22,89
2018-01-23,88
2018-01-24,89
2018-01-25,82
2018-01-26,84
2018-01-27,81
2018-01-28,82
2018-01-29,84
2018-01-30,84
2018-01-31,82
2018-02-01,81
2018-02-02,76
2018-02-03,79
2018-02-04,80
2018-02-05,79
2018-02-06,85
2018-02-07,87
2018-02-08,83
2018-02-09,81
2018-02-10,84
2018-02-11,83
2018-02-12,86
2018-02-13,82
2018-02-14,76
2018-02-15,82
2018-02-16,79
2018-02-17,74
2018-02-18,85
2018-02-19,90
2018-02-20,87
2018-02-21,86
2018-02-22,84
2018-02-23,77
2018-02-24,84
2018-02-25,83
2018-02-26,91
2018-02-27,87
2018-02-28,86
2018-03-01,87
2018-03-02,87
2018-03-03,83
2018-03-04,90
2018-03-05,91
2018-03-06,93
2018-03-07,92
2018-03-08,92
2018-03-09,95
2018-03-10,90
2018-03-11,93
2018-03-12,93
2018-03-13,91
2018-03-14,86
2018-03-15,84
2018-03-16,80
2018-03-17,83
2018-03-18,84
2018-03-19,92
2018-03-20,88
2018-03-21,91
2018-03-22,86
2018-03-23,85
2018-03-24,84
2018-03-25,88
2018-03-26,89
2018-03-27,89
2018-03-28,83
2018-03-29,82
2018-03-30,76
2018-03-31,77
2018-04-01,79
2018-04-02,90
2018-04-03,89
2018-04-04,89
2018-04-05,85
2018-04-06,81
2018-04-07,77
2018-04-08,86
2018-04-09,89
2018-04-10,85
2018-04-11,83
2018-04-12,80
2018-04-13,81
2018-04-14,81
2018-04-15,92
2018-04-16,92
2018-04-17,86
2018-04-18,83
2018-04-19,83
2018-04-20,76
2018-04-21,75
2018-04-22,84
2018-04-23,91
2018-04-24,85
2018-04-25,89
2018-04-26,81
2018-04-27,76
2018-04-28,73
2018-04-29,81
2018-04-30,90
2018-05-01,87
2018-05-02,84
2018-05-03,82
2018-05-04,82
2018-05-05,76
2018-05-06,84
2018-05-07,88
2018-05-08,88
2018-05-09,86
2018-05-10,86
2018-05-11,77
2018-05-12,74
2018-05-13,81
2018-05-14,90
2018-05-15,89
2018-05-16,84
2018-05-17,82
2018-05-18,80
2018-05-19,72
2018-05-20,87
2018-05-21,90
2018-05-22,89
2018-05-23,86
2018-05-24,83
2018-05-25,78
2018-05-26,78
2018-05-27,85
2018-05-28,93
2018-05-29,92
2018-05-30,90
2018-05-31,90
2018-06-01,82
2018-06-02,83
2018-06-03,94
2018-06-04,95
2018-06-05,90
2018-06-06,92
2018-06-07,86
2018-06-08,86
2018-06-09,84
2018-06-10,92
2018-06-11,99
2018-06-12,94
2018-06-13,92
2018-06-14,88
