Category: All categories

Day,trump: (United States)
2017-11-14,35
2017-11-15,42
2017-11-16,50
2017-11-17,50
2017-11-18,41
2017-11-19,39
2017-11-20,39
2017-11-21,41
2017-11-22,42
2017-11-23,38
2017-11-24,33
2017-11-25,35
2017-11-26,35
2017-11-27,35
2017-11-28,44
2017-11-29,53
2017-11-30,49
2017-12-01,55
2017-12-02,56
2017-12-03,48
2017-12-04,46
2017-12-05,46
2017-12-06,51
2017-12-07,54
2017-12-08,49
2017-12-09,47
2017-12-10,37
2017-12-11,40
2017-12-12,45
2017-12-13,60
2017-12-14,41
2017-12-15,39
2017-12-16,37
2017-12-17,36
2017-12-18,35
2017-12-19,38
2017-12-20,42
2017-12-21,43
2017-12-22,41
2017-12-23,38
2017-12-24,39
2017-12-25,38
2017-12-26,35
2017-12-27,35
2017-12-28,33
2017-12-29,38
2017-12-30,36
2017-12-31,31
2018-01-01,34
2018-01-02,32
2018-01-03,53
2018-01-04,51
2018-01-05,49
2018-01-06,53
2018-01-07,46
2018-01-08,53
2018-01-09,59
2018-01-10,44
2018-01-11,46
2018-01-12,100
2018-01-13,74
2018-01-14,52
2018-01-15,46
2018-01-16,46
2018-01-17,52
2018-01-18,52
2018-01-19,49
2018-01-20,66
2018-01-21,57
2018-01-22,43
2018-01-23,42
2018-01-24,40
2018-01-25,40
2018-01-26,45
2018-01-27,41
2018-01-28,41
2018-01-29,41
2018-01-30,44
2018-01-31,89
2018-02-01,47
2018-02-02,44
2018-02-03,41
2018-02-04,37
2018-02-05,41
2018-02-06,41
2018-02-07,43
2018-02-08,42
2018-02-09,40
2018-02-10,39
2018-02-11,33
2018-02-12,39
2018-02-13,39
2018-02-14,38
2018-02-15,42
2018-02-16,46
2018-02-17,46
2018-02-18,44
2018-02-19,45
2018-02-20,41
2018-02-21,37
2018-02-22,40
2018-02-23,38
2018-02-24,35
2018-02-25,34
2018-02-26,35
2018-02-27,37
2018-02-28,37
2018-03-01,41
2018-03-02,42
2018-03-03,37
2018-03-04,37
2018-03-05,34
2018-03-06,34
2018-03-07,39
2018-03-08,38
2018-03-09,39
2018-03-10,33
2018-03-11,37
2018-03-12,35
2018-03-13,45
2018-03-14,42
2018-03-15,48
2018-03-16,59
2018-03-17,46
2018-03-18,44
2018-03-19,41
2018-03-20,44
2018-03-21,44
2018-03-22,49
2018-03-23,56
2018-03-24,47
2018-03-25,45
2018-03-26,51
2018-03-27,38
2018-03-28,40
2018-03-29,38
2018-03-30,34
2018-03-31,33
2018-04-01,36
2018-04-02,38
2018-04-03,38
2018-04-04,36
2018-04-05,33
2018-04-06,35
2018-04-07,35
2018-04-08,47
2018-04-09,41
2018-04-10,50
2018-04-11,48
2018-04-12,44
2018-04-13,46
2018-04-14,71
2018-04-15,43
2018-04-16,43
2018-04-17,38
2018-04-18,40
2018-04-19,36
2018-04-20,37
2018-04-21,38
2018-04-22,39
2018-04-23,36
2018-04-24,41
2018-04-25,44
2018-04-26,49
2018-04-27,49
2018-04-28,42
2018-04-29,39
2018-04-30,34
2018-05-01,34
2018-05-02,35
2018-05-03,42
2018-05-04,39
2018-05-05,33
2018-05-06,35
2018-05-07,35
2018-05-08,44
2018-05-09,38
2018-05-10,37
2018-05-11,36
2018-05-12,31
2018-05-13,29
2018-05-14,37
2018-05-15,38
2018-05-16,33
2018-05-17,35
2018-05-18,38
2018-05-19,35
2018-05-20,33
2018-05-21,30
2018-05-22,30
2018-05-23,31
2018-05-24,38
2018-05-25,33
2018-05-26,31
2018-05-27,31
2018-05-28,32
2018-05-29,34
2018-05-30,42
2018-05-31,45
2018-06-01,40
2018-06-02,34
2018-06-03,33
2018-06-04,36
2018-06-05,40
2018-06-06,39
2018-06-07,37
2018-06-08,40
2018-06-09,36
2018-06-10,45
2018-06-11,55
2018-06-12,88
2018-06-13,50
2018-06-14,50
